route_id,service_id,trip_id,direction_id,shape_id
R1,WK,WK_53,1,R1_1
R1,WK,WK_117,0,R1_0
R1,WK,WK_116,1,R1_1
R1,WK,WK_118,0,R1_0
R1,WK,WK_119,1,R1_1
R1,WK,WK_144,0,R1_0
R1,WK,WK_145,1,R1_1
R1,WK,WK_165,0,R1_0
R1,WK,WK_199,1,R1_1
R1,WK,WK_200,0,R1_0
R1,WK,WK_217,1,R1_1
R1,WK,WK_229,0,R1_0
R1,WK,WK_25,1,R1_1
R1,WK,WK_26,0,R1_0
R1,WK,WK_64,1,R1_1
R1,WK,WK_65,0,R1_0
R1,WK,WK_66,1,R1_1
R1,WK,WK_89,0,R1_0
R1,WK,WK_90,1,R1_1
R1,WK,WK_126,0,R1_0
R1,WK,WK_127,1,R1_1
R1,WK,WK_152,0,R1_0
R1,WK,WK_153,1,R1_1
R1,WK,WK_175,0,R1_0
R1,WK,WK_176,1,R1_1
R1,WK,WK_203,0,R1_0
R1,WK,WK_204,1,R1_1
R1,WK,WK_239,0,R1_0
R1,WK,WK_242,1,R1_1
R1,WK,WK_254,0,R1_0
R1,WK,WK_30,0,R1_0
R1,WK,WK_29,1,R1_1
R1,WK,WK_31,0,R1_0
R1,WK,WK_74,1,R1_1
R1,WK,WK_75,0,R1_0
R1,WK,WK_34,1,R1_1
R1,WK,WK_33,0,R1_0
R1,WK,WK_35,1,R1_1
R1,WK,WK_44,0,R1_0
R1,WK,WK_45,1,R1_1
R1,WK,WK_109,0,R1_0
R1,WK,WK_108,1,R1_1
R1,WK,WK_110,0,R1_0
R1,WK,WK_111,1,R1_1
R1,WK,WK_140,0,R1_0
R1,WK,WK_141,1,R1_1
R1,WK,WK_163,0,R1_0
R1,WK,WK_195,1,R1_1
R1,WK,WK_196,0,R1_0
R1,WK,WK_215,1,R1_1
R1,WK,WK_227,0,R1_0
R1,WK,WK_231,1,R1_1
R1,WK,WK_248,0,R1_0
R1,WK,WK_41,0,R1_0
R1,WK,WK_40,1,R1_1
R1,WK,WK_42,0,R1_0
R1,WK,WK_43,1,R1_1
R1,WK,WK_79,0,R1_0
R1,WK,WK_105,1,R1_1
R1,WK,WK_106,0,R1_0
R1,WK,WK_107,1,R1_1
R1,WK,WK_138,0,R1_0
R1,WK,WK_139,1,R1_1
R1,WK,WK_162,0,R1_0
R1,WK,WK_193,1,R1_1
R1,WK,WK_194,0,R1_0
R1,WK,WK_214,1,R1_1
R1,WK,WK_226,0,R1_0
R1,WK,WK_49,0,R1_0
R1,WK,WK_48,1,R1_1
R1,WK,WK_50,0,R1_0
R1,WK,WK_51,1,R1_1
R1,WK,WK_80,1,R1_1
R1,WK,WK_61,0,R1_0
R1,WK,WK_60,1,R1_1
R1,WK,WK_62,0,R1_0
R1,WK,WK_63,1,R1_1
R1,WK,WK_87,0,R1_0
R1,WK,WK_88,1,R1_1
R1,WK,WK_124,0,R1_0
R1,WK,WK_125,1,R1_1
R1,WK,WK_150,0,R1_0
R1,WK,WK_151,1,R1_1
R1,WK,WK_169,0,R1_0
R1,WK,WK_170,1,R1_1
R1,WK,WK_206,0,R1_0
R1,WK,WK_220,1,R1_1
R1,WK,WK_236,0,R1_0
R1,WK,WK_237,1,R1_1
R1,WK,WK_255,0,R1_0
R1,WK,WK_81,1,R1_1
R1,WK,WK_70,0,R1_0
R1,WK,WK_69,1,R1_1
R1,WK,WK_71,0,R1_0
R1,WK,WK_93,1,R1_1
R1,WK,WK_94,0,R1_0
R1,WK,WK_95,1,R1_1
R1,WK,WK_130,0,R1_0
R1,WK,WK_131,1,R1_1
R1,WK,WK_156,0,R1_0
R1,WK,WK_157,1,R1_1
R1,WK,WK_179,0,R1_0
R1,WK,WK_180,1,R1_1
R1,WK,WK_209,0,R1_0
R1,WK,WK_223,1,R1_1
R1,WK,WK_241,0,R1_0
R1,WK,WK_172,0,R1_0
R1,WK,WK_171,1,R1_1
R1,WK,WK_173,0,R1_0
R1,WK,WK_174,1,R1_1
R1,WK,WK_207,0,R1_0
R1,WK,WK_221,1,R1_1
R1,WK,WK_238,0,R1_0
R1,WK,WK_190,0,R1_0
R1,WK,WK_189,1,R1_1
R1,WK,WK_191,0,R1_0
R1,WK,WK_192,1,R1_1
R1,WK,WK_213,0,R1_0
R1,WK,WK_230,1,R1_1
R1,WK,WK_247,0,R1_0
R1,WE,WE_36,1,R1_1
R1,WE,WE_35,0,R1_0
R1,WE,WE_37,1,R1_1
R1,WE,WE_38,0,R1_0
R1,WE,WE_67,1,R1_1
R1,WE,WE_68,0,R1_0
R1,WE,WE_91,1,R1_1
R1,WE,WE_92,0,R1_0
R1,WE,WE_115,1,R1_1
R1,WE,WE_116,0,R1_0
R1,WE,WE_139,1,R1_1
R1,WE,WE_140,0,R1_0
R1,WE,WE_163,1,R1_1
R1,WE,WE_164,0,R1_0
R1,WE,WE_1,1,R1_1
R1,WE,WE_4,1,R1_1
R1,WE,WE_3,0,R1_0
R1,WE,WE_5,1,R1_1
R1,WE,WE_6,0,R1_0
R1,WE,WE_51,1,R1_1
R1,WE,WE_52,0,R1_0
R1,WE,WE_75,1,R1_1
R1,WE,WE_76,0,R1_0
R1,WE,WE_99,1,R1_1
R1,WE,WE_100,0,R1_0
R1,WE,WE_123,1,R1_1
R1,WE,WE_124,0,R1_0
R1,WE,WE_147,1,R1_1
R1,WE,WE_148,0,R1_0
R1,WE,WE_168,1,R1_1
R1,WE,WE_169,0,R1_0
R1,WE,WE_188,0,R1_0
R1,WE,WE_8,1,R1_1
R1,WE,WE_7,0,R1_0
R1,WE,WE_9,1,R1_1
R1,WE,WE_10,0,R1_0
R1,WE,WE_53,1,R1_1
R1,WE,WE_54,0,R1_0
R1,WE,WE_77,1,R1_1
R1,WE,WE_78,0,R1_0
R1,WE,WE_101,1,R1_1
R1,WE,WE_102,0,R1_0
R1,WE,WE_125,1,R1_1
R1,WE,WE_126,0,R1_0
R1,WE,WE_149,1,R1_1
R1,WE,WE_150,0,R1_0
R1,WE,WE_196,0,R1_0
R1,WE,WE_195,1,R1_1
R1,WE,WE_193,0,R1_0
R1,WE,WE_12,1,R1_1
R1,WE,WE_11,0,R1_0
R1,WE,WE_13,1,R1_1
R1,WE,WE_14,0,R1_0
R1,WE,WE_55,1,R1_1
R1,WE,WE_56,0,R1_0
R1,WE,WE_79,1,R1_1
R1,WE,WE_80,0,R1_0
R1,WE,WE_103,1,R1_1
R1,WE,WE_104,0,R1_0
R1,WE,WE_127,1,R1_1
R1,WE,WE_128,0,R1_0
R1,WE,WE_151,1,R1_1
R1,WE,WE_152,0,R1_0
R1,WE,WE_170,1,R1_1
R1,WE,WE_171,0,R1_0
R1,WE,WE_16,1,R1_1
R1,WE,WE_15,0,R1_0
R1,WE,WE_17,1,R1_1
R1,WE,WE_18,0,R1_0
R1,WE,WE_57,1,R1_1
R1,WE,WE_58,0,R1_0
R1,WE,WE_81,1,R1_1
R1,WE,WE_82,0,R1_0
R1,WE,WE_105,1,R1_1
R1,WE,WE_106,0,R1_0
R1,WE,WE_129,1,R1_1
R1,WE,WE_130,0,R1_0
R1,WE,WE_153,1,R1_1
R1,WE,WE_154,0,R1_0
R1,WE,WE_172,1,R1_1
R1,WE,WE_173,0,R1_0
R1,WE,WE_182,0,R1_0
R1,WE,WE_181,1,R1_1
R1,WE,WE_183,0,R1_0
R1,WE,WE_20,1,R1_1
R1,WE,WE_19,0,R1_0
R1,WE,WE_21,1,R1_1
R1,WE,WE_22,0,R1_0
R1,WE,WE_59,1,R1_1
R1,WE,WE_60,0,R1_0
R1,WE,WE_83,1,R1_1
R1,WE,WE_84,0,R1_0
R1,WE,WE_107,1,R1_1
R1,WE,WE_108,0,R1_0
R1,WE,WE_131,1,R1_1
R1,WE,WE_132,0,R1_0
R1,WE,WE_155,1,R1_1
R1,WE,WE_156,0,R1_0
R1,WE,WE_194,0,R1_0
R1,WE,WE_24,1,R1_1
R1,WE,WE_23,0,R1_0
R1,WE,WE_25,1,R1_1
R1,WE,WE_26,0,R1_0
R1,WE,WE_61,1,R1_1
R1,WE,WE_62,0,R1_0
R1,WE,WE_85,1,R1_1
R1,WE,WE_86,0,R1_0
R1,WE,WE_109,1,R1_1
R1,WE,WE_110,0,R1_0
R1,WE,WE_133,1,R1_1
R1,WE,WE_134,0,R1_0
R1,WE,WE_157,1,R1_1
R1,WE,WE_158,0,R1_0
R1,WE,WE_174,1,R1_1
R1,WE,WE_189,1,R1_1
R1,WE,WE_177,0,R1_0
R1,WE,WE_28,1,R1_1
R1,WE,WE_27,0,R1_0
R1,WE,WE_29,1,R1_1
R1,WE,WE_30,0,R1_0
R1,WE,WE_63,1,R1_1
R1,WE,WE_64,0,R1_0
R1,WE,WE_87,1,R1_1
R1,WE,WE_88,0,R1_0
R1,WE,WE_111,1,R1_1
R1,WE,WE_112,0,R1_0
R1,WE,WE_135,1,R1_1
R1,WE,WE_136,0,R1_0
R1,WE,WE_159,1,R1_1
R1,WE,WE_160,0,R1_0
R1,WE,WE_175,1,R1_1
R1,WE,WE_185,0,R1_0
R1,WE,WE_184,1,R1_1
R1,WE,WE_178,0,R1_0
R1,WE,WE_32,1,R1_1
R1,WE,WE_31,0,R1_0
R1,WE,WE_33,1,R1_1
R1,WE,WE_34,0,R1_0
R1,WE,WE_65,1,R1_1
R1,WE,WE_66,0,R1_0
R1,WE,WE_89,1,R1_1
R1,WE,WE_90,0,R1_0
R1,WE,WE_113,1,R1_1
R1,WE,WE_114,0,R1_0
R1,WE,WE_137,1,R1_1
R1,WE,WE_138,0,R1_0
R1,WE,WE_161,1,R1_1
R1,WE,WE_162,0,R1_0
R1,WE,WE_190,1,R1_1
R1,WE,WE_179,0,R1_0
R1,WE,WE_40,1,R1_1
R1,WE,WE_39,0,R1_0
R1,WE,WE_41,1,R1_1
R1,WE,WE_42,0,R1_0
R1,WE,WE_69,1,R1_1
R1,WE,WE_70,0,R1_0
R1,WE,WE_93,1,R1_1
R1,WE,WE_94,0,R1_0
R1,WE,WE_117,1,R1_1
R1,WE,WE_118,0,R1_0
R1,WE,WE_141,1,R1_1
R1,WE,WE_142,0,R1_0
R1,WE,WE_191,1,R1_1
R1,WE,WE_180,0,R1_0
R1,WE,WE_44,1,R1_1
R1,WE,WE_43,0,R1_0
R1,WE,WE_45,1,R1_1
R1,WE,WE_46,0,R1_0
R1,WE,WE_71,1,R1_1
R1,WE,WE_72,0,R1_0
R1,WE,WE_95,1,R1_1
R1,WE,WE_96,0,R1_0
R1,WE,WE_119,1,R1_1
R1,WE,WE_120,0,R1_0
R1,WE,WE_143,1,R1_1
R1,WE,WE_144,0,R1_0
R1,WE,WE_165,1,R1_1
R1,WE,WE_166,0,R1_0
R1,WE,WE_186,0,R1_0
R1,WE,WE_187,1,R1_1
R1,WE,WE_192,0,R1_0
R1,WE,WE_48,1,R1_1
R1,WE,WE_47,0,R1_0
R1,WE,WE_49,1,R1_1
R1,WE,WE_50,0,R1_0
R1,WE,WE_73,1,R1_1
R1,WE,WE_74,0,R1_0
R1,WE,WE_97,1,R1_1
R1,WE,WE_98,0,R1_0
R1,WE,WE_121,1,R1_1
R1,WE,WE_122,0,R1_0
R1,WE,WE_145,1,R1_1
R1,WE,WE_146,0,R1_0
R1,WE,WE_167,1,R1_1
R1,WE,WE_2,0,R1_0
