origin_id,destination_id,fare_id
PNCU,PDPM,F4
CPPY,PDPM,F4
ATTK,PDPM,F5
MUTT,PDPM,F5
KLMT,PDPM,F5
CCUV,PDPM,F6
PDPM,PDPM,F6
EDAP,PDPM,F6
CGPP,PDPM,F5
PARV,PDPM,F5
JLSD,PDPM,F5
KALR,PDPM,F4
TNHL,PDPM,F4
MGRD,PDPM,F4
MACE,PDPM,F3
ERSH,PDPM,F3
KVTR,PDPM,F3
EMKM,PDPM,F3
VYTA,PDPM,F2
THYK,PDPM,F2
PETT,PDPM,F2
VAKK,PDPM,F2
SNJN,PDPM,F2
ALVA,EDAP,F3
PNCU,EDAP,F4
CPPY,EDAP,F4
ATTK,EDAP,F4
MUTT,EDAP,F5
KLMT,EDAP,F5
CCUV,EDAP,F5
PDPM,EDAP,F6
EDAP,EDAP,F6
CGPP,EDAP,F6
PARV,EDAP,F5
JLSD,EDAP,F5
KALR,EDAP,F5
TNHL,EDAP,F4
MGRD,EDAP,F4
MACE,EDAP,F4
ERSH,EDAP,F3
KVTR,EDAP,F3
EMKM,EDAP,F3
VYTA,EDAP,F3
THYK,EDAP,F2
PETT,EDAP,F2
VAKK,EDAP,F2
SNJN,EDAP,F2
ALVA,CGPP,F3
PNCU,CGPP,F3
CPPY,CGPP,F4
ATTK,CGPP,F4
MUTT,CGPP,F4
KLMT,CGPP,F5
CCUV,CGPP,F5
PDPM,CGPP,F5
EDAP,CGPP,F6
CGPP,CGPP,F6
PARV,CGPP,F6
JLSD,CGPP,F5
KALR,CGPP,F5
TNHL,CGPP,F5
MGRD,CGPP,F4
MACE,CGPP,F4
ERSH,CGPP,F4
KVTR,CGPP,F3
EMKM,CGPP,F3
VYTA,CGPP,F3
THYK,CGPP,F3
PETT,CGPP,F2
VAKK,CGPP,F2
SNJN,CGPP,F2
ALVA,PARV,F3
PNCU,PARV,F3
CPPY,PARV,F3
ATTK,PARV,F4
MUTT,PARV,F4
KLMT,PARV,F4
CCUV,PARV,F5
PDPM,PARV,F5
EDAP,PARV,F5
CGPP,PARV,F6
PARV,PARV,F6
JLSD,PARV,F6
KALR,PARV,F5
TNHL,PARV,F5
MGRD,PARV,F5
MACE,PARV,F4
ERSH,PARV,F4
KVTR,PARV,F4
EMKM,PARV,F3
VYTA,PARV,F3
THYK,PARV,F3
PETT,PARV,F3
VAKK,PARV,F2
SNJN,PARV,F2
ALVA,JLSD,F3
PNCU,JLSD,F3
CPPY,JLSD,F3
ATTK,JLSD,F3
MUTT,JLSD,F4
KLMT,JLSD,F4
CCUV,JLSD,F4
PDPM,JLSD,F5
EDAP,JLSD,F5
CGPP,JLSD,F5
PARV,JLSD,F6
JLSD,JLSD,F6
KALR,JLSD,F6
TNHL,JLSD,F5
MGRD,JLSD,F5
MACE,JLSD,F5
ERSH,JLSD,F4
KVTR,JLSD,F4
EMKM,JLSD,F4
VYTA,JLSD,F3
THYK,JLSD,F3
PETT,JLSD,F3
VAKK,JLSD,F3
SNJN,JLSD,F2
ALVA,KALR,F2
PNCU,KALR,F3
CPPY,KALR,F3
ATTK,KALR,F3
MUTT,KALR,F3
KLMT,KALR,F4
CCUV,KALR,F4
PDPM,KALR,F4
EDAP,KALR,F5
CGPP,KALR,F5
PARV,KALR,F5
JLSD,KALR,F6
KALR,KALR,F6
TNHL,KALR,F6
MGRD,KALR,F5
MACE,KALR,F5
ERSH,KALR,F5
KVTR,KALR,F4
EMKM,KALR,F4
VYTA,KALR,F4
THYK,KALR,F3
PETT,KALR,F3
VAKK,KALR,F3
SNJN,KALR,F3
ALVA,TNHL,F2
PNCU,TNHL,F2
CPPY,TNHL,F3
ATTK,TNHL,F3
MUTT,TNHL,F3
KLMT,TNHL,F3
CCUV,TNHL,F4
PDPM,TNHL,F4
EDAP,TNHL,F4
CGPP,TNHL,F5
PARV,TNHL,F5
JLSD,TNHL,F5
KALR,TNHL,F6
TNHL,TNHL,F6
MGRD,TNHL,F6
MACE,TNHL,F5
ERSH,TNHL,F5
KVTR,TNHL,F5
EMKM,TNHL,F4
VYTA,TNHL,F4
THYK,TNHL,F4
PETT,TNHL,F3
VAKK,TNHL,F3
SNJN,TNHL,F3
ALVA,MGRD,F2
PNCU,MGRD,F2
CPPY,MGRD,F2
ATTK,MGRD,F3
MUTT,MGRD,F3
KLMT,MGRD,F3
CCUV,MGRD,F3
PDPM,MGRD,F4
EDAP,MGRD,F4
CGPP,MGRD,F4
PARV,MGRD,F5
JLSD,MGRD,F5
KALR,MGRD,F5
TNHL,MGRD,F6
MGRD,MGRD,F6
MACE,MGRD,F6
ERSH,MGRD,F5
KVTR,MGRD,F5
EMKM,MGRD,F5
VYTA,MGRD,F4
THYK,MGRD,F4
PETT,MGRD,F4
VAKK,MGRD,F3
SNJN,MGRD,F3
PNCU,MACE,F2
CPPY,MACE,F2
ATTK,MACE,F2
MUTT,MACE,F3
KLMT,MACE,F3
CCUV,MACE,F3
PDPM,MACE,F3
EDAP,MACE,F4
CGPP,MACE,F4
PARV,MACE,F4
JLSD,MACE,F5
KALR,MACE,F5
TNHL,MACE,F5
MGRD,MACE,F6
MACE,MACE,F6
ERSH,MACE,F6
KVTR,MACE,F5
EMKM,MACE,F5
VYTA,MACE,F5
THYK,MACE,F4
PETT,MACE,F4
VAKK,MACE,F4
SNJN,MACE,F3
ALVA,ERSH,F2
PNCU,ERSH,F2
CPPY,ERSH,F2
ATTK,ERSH,F2
MUTT,ERSH,F2
KLMT,ERSH,F3
CCUV,ERSH,F3
PDPM,ERSH,F3
EDAP,ERSH,F3
CGPP,ERSH,F4
PARV,ERSH,F4
JLSD,ERSH,F4
KALR,ERSH,F5
TNHL,ERSH,F5
MGRD,ERSH,F5
MACE,ERSH,F6
ERSH,ERSH,F6
KVTR,ERSH,F6
EMKM,ERSH,F5
VYTA,ERSH,F5
THYK,ERSH,F5
PETT,ERSH,F4
VAKK,ERSH,F4
SNJN,ERSH,F4
ALVA,KVTR,F1
PNCU,KVTR,F2
CPPY,KVTR,F2
ATTK,KVTR,F2
MUTT,KVTR,F2
KLMT,KVTR,F2
CCUV,KVTR,F3
PDPM,KVTR,F3
EDAP,KVTR,F3
CGPP,KVTR,F3
PARV,KVTR,F4
JLSD,KVTR,F4
KALR,KVTR,F4
TNHL,KVTR,F5
MGRD,KVTR,F5
MACE,KVTR,F5
ERSH,KVTR,F6
KVTR,KVTR,F6
EMKM,KVTR,F6
VYTA,KVTR,F5
THYK,KVTR,F5
PETT,KVTR,F5
VAKK,KVTR,F4
SNJN,KVTR,F4
ALVA,EMKM,F1
PNCU,EMKM,F1
CPPY,EMKM,F2
ATTK,EMKM,F2
MUTT,EMKM,F2
KLMT,EMKM,F2
CCUV,EMKM,F2
PDPM,EMKM,F3
EDAP,EMKM,F3
CGPP,EMKM,F3
PARV,EMKM,F3
JLSD,EMKM,F4
KALR,EMKM,F4
TNHL,EMKM,F4
MGRD,EMKM,F5
MACE,EMKM,F5
ERSH,EMKM,F5
KVTR,EMKM,F6
EMKM,EMKM,F6
VYTA,EMKM,F6
THYK,EMKM,F5
PETT,EMKM,F5
VAKK,EMKM,F5
SNJN,EMKM,F4
ALVA,VYTA,F1
PNCU,VYTA,F1
CPPY,VYTA,F1
ATTK,VYTA,F2
MUTT,VYTA,F2
KLMT,VYTA,F2
CCUV,VYTA,F2
PDPM,VYTA,F2
EDAP,VYTA,F3
CGPP,VYTA,F3
PARV,VYTA,F3
JLSD,VYTA,F3
KALR,VYTA,F4
TNHL,VYTA,F4
MGRD,VYTA,F4
MACE,VYTA,F5
ERSH,VYTA,F5
KVTR,VYTA,F5
EMKM,VYTA,F6
VYTA,VYTA,F6
THYK,VYTA,F6
PETT,VYTA,F5
VAKK,VYTA,F5
SNJN,VYTA,F5
ALVA,THYK,F1
PNCU,THYK,F1
CPPY,THYK,F1
ATTK,THYK,F1
MUTT,THYK,F2
KLMT,THYK,F2
CCUV,THYK,F2
PDPM,THYK,F2
EDAP,THYK,F2
CGPP,THYK,F3
PARV,THYK,F3
JLSD,THYK,F3
KALR,THYK,F3
TNHL,THYK,F4
MGRD,THYK,F4
MACE,THYK,F4
ERSH,THYK,F5
KVTR,THYK,F5
EMKM,THYK,F5
VYTA,THYK,F6
THYK,THYK,F6
PETT,THYK,F6
VAKK,THYK,F5
SNJN,THYK,F5
ALVA,PETT,F1
PNCU,PETT,F1
CPPY,PETT,F1
ATTK,PETT,F1
MUTT,PETT,F1
KLMT,PETT,F2
CCUV,PETT,F2
PDPM,PETT,F2
EDAP,PETT,F2
CGPP,PETT,F2
PARV,PETT,F3
JLSD,PETT,F3
KALR,PETT,F3
TNHL,PETT,F3
MGRD,PETT,F4
MACE,PETT,F4
ERSH,PETT,F4
KVTR,PETT,F5
EMKM,PETT,F5
VYTA,PETT,F5
THYK,PETT,F6
PETT,PETT,F6
VAKK,PETT,F6
SNJN,PETT,F5
ALVA,VAKK,F1
PNCU,VAKK,F1
CPPY,VAKK,F1
ATTK,VAKK,F1
MUTT,VAKK,F1
KLMT,VAKK,F1
CCUV,VAKK,F2
PDPM,VAKK,F2
EDAP,VAKK,F2
CGPP,VAKK,F2
PARV,VAKK,F2
JLSD,VAKK,F3
KALR,VAKK,F3
TNHL,VAKK,F3
MGRD,VAKK,F3
MACE,VAKK,F4
ERSH,VAKK,F4
KVTR,VAKK,F4
EMKM,VAKK,F5
VYTA,VAKK,F5
THYK,VAKK,F5
PETT,VAKK,F6
VAKK,VAKK,F6
SNJN,VAKK,F6
ALVA,SNJN,F1
PNCU,SNJN,F1
CPPY,SNJN,F1
ATTK,SNJN,F1
MUTT,SNJN,F1
KLMT,SNJN,F1
CCUV,SNJN,F1
PDPM,SNJN,F2
EDAP,SNJN,F2
CGPP,SNJN,F2
PARV,SNJN,F2
JLSD,SNJN,F2
KALR,SNJN,F3
TNHL,SNJN,F3
MGRD,SNJN,F3
MACE,SNJN,F3
ERSH,SNJN,F4
KVTR,SNJN,F4
EMKM,SNJN,F4
VYTA,SNJN,F5
THYK,SNJN,F5
PETT,SNJN,F5
VAKK,SNJN,F6
SNJN,SNJN,F6
